Date,Album,AlbumURL,AlbumImageURL,Artist,ArtistURL
1948-05-29,A Presentation of Progressive Jazz,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Stan Kenton,/wiki/Stan_Kenton
1948-06-05,A Presentation of Progressive Jazz,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Stan Kenton,/wiki/Stan_Kenton
1948-06-12,A Presentation of Progressive Jazz,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Stan Kenton,/wiki/Stan_Kenton
1948-06-19,A Presentation of Progressive Jazz,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Stan Kenton,/wiki/Stan_Kenton
1948-06-26,A Presentation of Progressive Jazz,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Stan Kenton,/wiki/Stan_Kenton
1948-07-03,A Presentation of Progressive Jazz,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Stan Kenton,/wiki/Stan_Kenton
1948-07-10,A Presentation of Progressive Jazz,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Stan Kenton,/wiki/Stan_Kenton
1948-07-17,A Presentation of Progressive Jazz,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Stan Kenton,/wiki/Stan_Kenton
1948-07-24,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-07-31,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-08-07,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-08-14,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-08-21,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-08-28,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-09-04,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-09-11,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-09-18,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-09-25,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-10-02,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-10-09,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-10-16,Theme Songs,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Various Artists,
1948-10-23,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-10-30,Al Jolson Volume III,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Al Jolson,
1948-11-06,Theme Songs,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Various Artists,
1948-11-13,Theme Songs,,http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Various Artists,
1948-11-20,Merry Christmas,/wiki/Merry_Christmas_(Bing_Crosby_album),http://upload.wikimedia.org/wikipedia/commons/2/28/Joan_Baez_Bob_Dylan_crop.jpg,Bing Crosby,
1948-11-27,Merry Christmas,/wiki/Merry_Christmas_(Bing_Crosby_album),http://upload.wikimedia.org/wikipedia/commons/8/86/A-550_1947.jpg,Bing Crosby,
1948-12-04,Merry Christmas,/wiki/Merry_Christmas_(Bing_Crosby_album),http://upload.wikimedia.org/wikipedia/commons/8/86/A-550_1947.jpg,Bing Crosby,
1948-12-11,Merry Christmas,/wiki/Merry_Christmas_(Bing_Crosby_album),http://upload.wikimedia.org/wikipedia/commons/8/86/A-550_1947.jpg,Bing Crosby,
1948-12-18,Merry Christmas,/wiki/Merry_Christmas_(Bing_Crosby_album),http://upload.wikimedia.org/wikipedia/commons/8/86/A-550_1947.jpg,Bing Crosby,
1948-12-25,Merry Christmas,/wiki/Merry_Christmas_(Bing_Crosby_album),http://upload.wikimedia.org/wikipedia/commons/8/86/A-550_1947.jpg,Bing Crosby,
1949-01-01,Merry Christmas,/wiki/Merry_Christmas_(Bing_Crosby_album),http://upload.wikimedia.org/wikipedia/commons/8/86/A-550_1947.jpg,Bing Crosby,
1949-01-08,Merry Christmas,/wiki/Merry_Christmas_(Bing_Crosby_album),http://upload.wikimedia.org/wikipedia/commons/8/86/A-550_1947.jpg,Bing Crosby,
1949-01-15,Merry Christmas,/wiki/Merry_Christmas_(Bing_Crosby_album),http://upload.wikimedia.org/wikipedia/commons/8/86/A-550_1947.jpg,Bing Crosby,
1949-01-22,Vaughn Monroe Sings,,http://upload.wikimedia.org/wikipedia/commons/8/86/A-550_1947.jpg,Vaughn Monroe,/wiki/Vaughn_Monroe
1949-01-29,Roses In Rhythm,,http://upload.wikimedia.org/wikipedia/commons/8/86/A-550_1947.jpg,Frankie Carle,/wiki/Frankie_Carle
1949-02-05,Vaughn Monroe Sings,,http://upload.wikimedia.org/wikipedia/commons/8/86/A-550_1947.jpg,Vaughn Monroe,/wiki/Vaughn_Monroe
1949-02-12,Words and Music,/wiki/Words_and_Music_(1948_film),http://upload.wikimedia.org/wikipedia/en/d/de/Words_and_Music_%281948_film%29_poster.jpg,Soundtrack,
